Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
0 sec,Standing,0.488314,-9.112051,3.540679,-0.016904,-0.010552,-0.007124
0.01 sec,Standing,0.509193,-9.168829,3.535259,-0.016932,-0.007231,-0.003924
0.02 sec,Standing,0.507797,-9.182041,3.554815,-0.005458,-0.008843,-0.01064
0.03 sec,Standing,0.533936,-9.163539,3.568854,-0.003299,-0.003711,-0.004578
0.04 sec,Standing,0.531267,-9.196993,3.576551,0.004753,-0.001052,-0.006844
0.05 sec,Standing,0.537155,-9.150351,3.548959,0.010047,-0.000169,0.001504
0.06 sec,Standing,0.538368,-9.108689,3.575903,0.011106,0.008377,0.009622
0.07 sec,Standing,0.518101,-9.060037,3.547028,0.007466,0.011329,0.018183
0.08 sec,Standing,0.444188,-9.061734,3.509247,-0.001865,0.012758,0.027186
0.09 sec,Standing,0.464713,-9.084779,3.49726,-0.010731,0.013494,0.024769
0.1 sec,Standing,0.40433,-9.132625,3.575607,-0.015296,0.005237,0.019955
0.11 sec,Standing,0.426945,-9.16389,3.528856,-0.021934,0.009772,0.020971
0.12 sec,Standing,0.396022,-9.216694,3.52043,-0.013072,0.009026,0.023387
0.13 sec,Standing,0.421457,-9.185635,3.513568,-0.003807,0.008926,0.017014
0.14 sec,Standing,0.39991,-9.129543,3.517236,-0.001109,0.012037,0.009031
0.15 sec,Standing,0.425584,-9.118802,3.498143,0.000253,0.011933,0.00344
0.16 sec,Standing,0.376524,-9.114596,3.495305,0.002841,0.014385,-0.002489
0.17 sec,Standing,0.374031,-9.127316,3.51629,0.004093,0.013622,-0.006026
0.18 sec,Standing,0.374062,-9.127115,3.516806,0.006193,0.011449,-0.00431
0.19 sec,Standing,0.377778,-9.093485,3.509457,-0.000625,0.002726,-0.009362
0.2 sec,Standing,0.402618,-9.095532,3.510985,0.000377,0.003964,-0.00559
0.21 sec,Standing,0.40419,-9.103383,3.477224,-0.004272,0.005672,-0.000805
0.22 sec,Standing,0.394974,-9.183407,3.512715,-0.004425,0.003025,0.000676
0.23 sec,Standing,0.414428,-9.211288,3.555229,-0.001071,9.1e-05,-0.001145
0.24 sec,Standing,0.443549,-9.187587,3.515669,0.004313,-0.003683,0.001378
0.25 sec,Standing,0.42265,-9.151678,3.507371,0.014624,-0.000554,-0.000646
0.26 sec,Standing,0.423544,-9.130644,3.521353,0.007485,-0.005946,0.004239
0.27 sec,Standing,0.472889,-9.113881,3.538061,0.007638,-0.0033,0.002758
0.28 sec,Standing,0.447424,-9.132293,3.524026,0.00306,-0.002921,0.004915
0.29 sec,Standing,0.440385,-9.199233,3.539528,0.002031,-0.000841,0.004343
0.3 sec,Standing,0.419855,-9.142931,3.543587,0.003186,0.003044,0.006633
0.31 sec,Standing,0.415838,-9.17631,3.551631,0.005398,0.00153,0.006295
0.32 sec,Standing,0.441772,-9.165269,3.533328,0.011326,0.009671,0.005518
0.33 sec,Standing,0.44366,-9.152096,3.513619,0.007987,0.00398,0.000367
0.34 sec,Standing,0.445182,-9.110507,3.540323,0.007958,0.007298,0.003566
0.35 sec,Standing,0.443012,-9.151423,3.515454,0.014972,0.006719,-0.003038
0.36 sec,Standing,0.437116,-9.197148,3.545349,0.019408,0.008997,5.8e-05
0.37 sec,Standing,0.416805,-9.140191,3.551008,0.020786,0.014195,-0.001763
0.38 sec,Standing,0.417906,-9.147291,3.519361,0.020631,0.011547,-0.000281
0.39 sec,Standing,0.395123,-9.103163,3.545621,0.019602,0.013624,-0.000855
0.4 sec,Standing,0.393881,-9.123098,3.534598,0.021771,0.010119,-0.001763
0.41 sec,Standing,0.392368,-9.114584,3.569877,0.014774,0.002075,-0.002127
0.42 sec,Standing,0.370236,-9.099214,3.548944,0.012461,0.00824,0.004031
0.43 sec,Standing,0.34563,-9.09663,3.548728,0.016718,-0.002743,0.001077
0.44 sec,Standing,0.39516,-9.079588,3.56608,0.012212,-0.00369,0.000607
0.45 sec,Standing,0.369936,-9.097814,3.552562,0.009692,-0.007464,0.003912
0.46 sec,Standing,0.392742,-9.091701,3.588483,0.008425,-0.012006,0.003681
0.47 sec,Standing,0.418434,-9.1015,3.556862,0.001637,-0.010105,0.006173
0.48 sec,Standing,0.419411,-9.080873,3.569648,-0.00387,-0.012292,0.001935
0.49 sec,Standing,0.416919,-9.093789,3.590015,-0.001561,-0.004522,0.006505
0.5 sec,Standing,0.390574,-9.133226,3.562241,-0.005885,-0.006144,0.001357
0.51 sec,Standing,0.393202,-9.120546,3.541252,-0.001154,-0.003886,-0.002285
0.52 sec,Standing,0.393959,-9.120519,3.541237,0.001309,-0.00741,-0.009928
0.53 sec,Standing,0.374385,-9.084898,3.531988,-0.00072,-0.006571,-0.014272
0.54 sec,Standing,0.395053,-9.161757,3.515364,0.001449,-0.010077,-0.01518
0.55 sec,Standing,0.397738,-9.140861,3.528656,0.007137,-0.008567,-0.015623
0.56 sec,Standing,0.423643,-9.142623,3.530786,0.006872,-0.01187,-0.012084
0.57 sec,Standing,0.448266,-9.165108,3.519911,0.005661,-0.009113,-0.007977
0.58 sec,Standing,0.471848,-9.159023,3.555602,0.007775,-0.005972,-0.002493
0.59 sec,Standing,0.472124,-9.158748,3.556273,0.007553,-0.007284,0.001618
0.6 sec,Standing,0.499913,-9.127072,3.550691,0.006634,-0.004548,-0.001012
0.61 sec,Standing,0.477922,-9.111991,3.529103,0.006537,0.00011,0.00481
0.62 sec,Standing,0.449007,-9.163889,3.522988,0.006648,0.000765,0.002754
0.63 sec,Standing,0.470583,-9.17849,3.545873,0.008748,-0.001407,0.004472
0.64 sec,Standing,0.4218,-9.17401,3.54377,0.012099,-0.00435,0.002654
0.65 sec,Standing,0.416783,-9.199089,3.586403,0.016689,0.000575,0.004259
0.66 sec,Standing,0.39628,-9.191525,3.532259,0.018843,-0.008247,-0.000413
0.67 sec,Standing,0.444592,-9.166213,3.58389,0.0277,-0.009004,0.002003
0.68 sec,Standing,0.499524,-9.102428,3.573896,0.027492,-0.005002,0.009876
0.69 sec,Standing,0.475716,-9.107353,3.541352,0.028688,0.000873,0.012726
0.7 sec,Standing,0.452017,-9.063032,3.567928,0.021902,0.00278,0.015222
0.71 sec,Standing,0.453828,-9.029026,3.561695,0.011947,0.006954,0.014856
0.72 sec,Standing,0.45049,-9.07024,3.536638,0.003201,0.008367,0.010385
0.73 sec,Standing,0.3964,-9.091578,3.575079,-0.000943,0.006061,0.000561
0.74 sec,Standing,0.369911,-9.130922,3.547818,0.001309,0.006532,0.000793
0.75 sec,Standing,0.395032,-9.112198,3.562477,0.003589,0.003677,-0.002167
0.76 sec,Standing,0.396471,-9.120022,3.529258,0.003631,0.005667,-0.001599
0.77 sec,Standing,0.373234,-9.097033,3.541112,0.006981,0.00272,-0.003415
0.78 sec,Standing,0.366794,-9.16365,3.557494,0.010219,-0.000881,-0.003175
0.79 sec,Standing,0.343733,-9.140528,3.569667,0.007855,-0.002006,-0.001352
0.8 sec,Standing,0.396113,-9.110902,3.565668,0.008868,-0.009404,-0.004535
0.81 sec,Standing,0.400056,-9.077172,3.558473,0.005364,-0.009101,-0.001232
0.82 sec,Standing,0.39712,-9.110492,3.566604,0.002804,-0.014859,0.001513
0.83 sec,Standing,0.421811,-9.112466,3.568335,0.002957,-0.012216,2.4e-05
0.84 sec,Standing,0.447695,-9.122458,3.536418,0.000721,-0.00737,0.003552
0.85 sec,Standing,0.396847,-9.131019,3.554145,0.001817,-0.010789,0.001504
0.86 sec,Standing,0.392489,-9.156378,3.595803,0.00532,-0.011094,-0.001801
0.87 sec,Standing,0.418892,-9.166062,3.56462,0.014508,-0.009897,-0.005557
0.88 sec,Standing,0.426738,-9.09852,3.550424,0.018078,-0.011541,-0.011486
0.89 sec,Standing,0.426676,-9.089867,3.585518,0.016785,-0.012759,-0.008518
0.9 sec,Standing,0.429352,-9.09714,3.553644,0.021399,-0.011168,-0.010114
0.91 sec,Standing,0.426637,-9.101187,3.609507,0.014702,-0.005268,-0.00648
0.92 sec,Standing,0.424195,-9.134045,3.618761,0.016868,-0.008782,-0.007385
0.93 sec,Standing,0.429588,-9.107952,3.578917,0.017956,-0.003552,-0.002485
0.94 sec,Standing,0.426127,-9.112042,3.634687,0.015594,-0.004676,-0.000659
0.95 sec,Standing,0.428633,-9.098764,3.615373,0.015484,-0.005329,0.001398
0.96 sec,Standing,0.408206,-9.09143,3.561096,0.017693,-0.006852,0.00106
0.97 sec,Standing,0.409408,-9.070202,3.575143,0.009713,-0.010816,0.000719
0.98 sec,Standing,0.456122,-9.08671,3.599592,0.00768,-0.009983,-0.003624
0.99 sec,Standing,0.453266,-9.119835,3.608235,0.009908,-0.006181,-0.000206
1 sec,Standing,0.506482,-9.069423,3.616957,0.007917,-0.003357,-0.003982
1.01 sec,Standing,0.503478,-9.102655,3.625345,0.00339,-0.000962,-0.001251
1.02 sec,Standing,0.47923,-9.100481,3.624143,0.002599,0.007749,-0.002187
1.03 sec,Standing,0.48389,-9.074962,3.583008,0.002903,0.013035,-0.005169
1.04 sec,Standing,0.48054,-9.10838,3.590981,-0.002587,0.01617,-0.005638
1.05 sec,Standing,0.429312,-9.116968,3.608748,0.001892,0.02044,-0.001991
1.06 sec,Standing,0.406268,-9.122833,3.574047,0.004193,0.014242,-0.008139
1.07 sec,Standing,0.379635,-9.133265,3.593803,0.006419,0.018043,-0.004722
1.08 sec,Standing,0.378694,-9.153727,3.581712,0.008502,0.010545,-0.006755
1.09 sec,Standing,0.329393,-9.170047,3.566691,0.009226,0.003178,-0.003195
1.1 sec,Standing,0.355794,-9.130177,3.594884,0.013341,-0.00515,-0.000883
1.11 sec,Standing,0.379312,-9.152428,3.584963,0.01754,-0.009496,0.002559
1.12 sec,Standing,0.403302,-9.125073,3.63428,0.015094,-0.0146,0.003256
1.13 sec,Standing,0.427584,-9.126541,3.637247,0.018195,-0.015524,0.008742
1.14 sec,Standing,0.458279,-9.061153,3.624331,0.014038,-0.009188,0.005864
1.15 sec,Standing,0.45796,-9.060643,3.625645,0.016027,-0.012012,0.009642
1.16 sec,Standing,0.510664,-9.010137,3.634559,0.007697,-0.004663,0.000135
1.17 sec,Standing,0.481759,-9.033168,3.675161,0.006711,-0.000587,0.000121
1.18 sec,Standing,0.486949,-9.036532,3.587725,0.001333,0.003201,-0.002407
1.19 sec,Standing,0.458069,-9.059822,3.627683,-0.001947,0.004815,-0.003214
1.2 sec,Standing,0.457131,-9.080668,3.614678,-0.003085,0.006249,-0.001735
1.21 sec,Standing,0.405073,-9.081319,3.665479,-0.007453,0.002625,-0.007436
1.22 sec,Standing,0.406747,-9.089595,3.631451,-0.003432,-0.001028,0.000686
1.23 sec,Standing,0.406492,-9.08981,3.63094,-0.007917,0.003363,0.003979
1.24 sec,Standing,0.380023,-9.129611,3.603036,-0.009267,-0.005166,0.002634
1.25 sec,Standing,0.352217,-9.161338,3.608619,-0.008459,-0.008549,0.007327
1.26 sec,Standing,0.405003,-9.140388,3.569444,-0.006469,-0.011373,0.011105
1.27 sec,Standing,0.404405,-9.140646,3.568849,-0.005442,-0.013458,0.011682
1.28 sec,Standing,0.4226,-9.188969,3.598682,0.000113,-0.01794,0.009529
1.29 sec,Standing,0.447536,-9.170061,3.613556,0.013774,-0.012488,0.009407
1.3 sec,Standing,0.526054,-9.080076,3.649744,0.013903,-0.006512,0.011102
1.31 sec,Standing,0.50429,-9.072905,3.595448,0.018513,0.003735,0.016438
1.32 sec,Standing,0.502719,-9.072469,3.596767,0.009856,0.009141,0.013106
1.33 sec,Standing,0.456032,-9.034687,3.58655,0.004478,0.012932,0.010579
1.34 sec,Standing,0.451177,-9.039244,3.640996,-0.001947,0.01348,0.003723
1.35 sec,Standing,0.423434,-9.099695,3.600587,-0.010623,0.013561,-0.003362
1.36 sec,Standing,0.423188,-9.10011,3.599568,-0.012985,0.012442,-0.001533
1.37 sec,Standing,0.374249,-9.096438,3.595392,-0.01397,0.016516,-0.001547
1.38 sec,Standing,0.396185,-9.140411,3.570373,-0.007302,0.013933,-0.001991
1.39 sec,Standing,0.375531,-9.084368,3.573237,-0.005297,0.016431,0.005538
1.4 sec,Standing,0.370265,-9.138724,3.56804,-0.002301,0.006198,0.006144
1.41 sec,Standing,0.319403,-9.126517,3.598559,0.002091,0.006481,0.008659
1.42 sec,Standing,0.342761,-9.12851,3.600381,0.004256,0.002965,0.007759
1.43 sec,Standing,0.320435,-9.142478,3.532163,0.003948,-0.002319,0.010743
1.44 sec,Standing,0.347518,-9.110953,3.526257,0.007318,-0.008609,0.005743
1.45 sec,Standing,0.370441,-9.104781,3.561746,0.002994,-0.010233,0.000606
1.46 sec,Standing,0.370997,-9.10463,3.562073,0.005226,-0.015092,-0.002916
1.47 sec,Standing,0.417094,-9.142071,3.573338,0.003085,-0.014909,-0.005202
1.48 sec,Standing,0.414729,-9.175216,3.581897,0.012047,-0.015035,-0.004852
1.49 sec,Standing,0.435685,-9.230857,3.580056,0.022343,-0.011961,-0.006909
1.5 sec,Standing,0.462923,-9.190378,3.609649,0.032726,-0.004905,-0.00784
1.51 sec,Standing,0.470524,-9.122254,3.596838,0.03513,-0.001802,-0.009107
1.52 sec,Standing,0.469052,-9.162457,3.574648,0.038513,0.005888,-0.003426
1.53 sec,Standing,0.46877,-9.132119,3.624542,0.039538,0.003796,-0.002848
1.54 sec,Standing,0.4428,-9.120417,3.660302,0.041739,0.010928,0.003744
1.55 sec,Standing,0.44583,-9.11454,3.609656,0.037081,0.007349,0.004782
1.56 sec,Standing,0.422804,-9.069568,3.637009,0.036052,0.009427,0.0042
1.57 sec,Standing,0.39655,-9.087103,3.625844,0.031261,0.008543,0.010479
1.58 sec,Standing,0.375511,-9.029874,3.63149,0.022369,0.00733,0.007511
1.59 sec,Standing,0.377916,-8.995792,3.62522,0.016533,0.003206,0.009469
1.6 sec,Standing,0.422063,-9.032859,3.63766,0.013145,0.004178,0.010717
1.61 sec,Standing,0.395438,-9.022309,3.670372,0.002876,-0.002215,0.009602
1.62 sec,Standing,0.420423,-9.032534,3.638657,0.003141,0.00107,0.006047
1.63 sec,Standing,0.41732,-9.074176,3.613288,-0.001629,0.005527,0.016068
1.64 sec,Standing,0.411257,-9.09942,3.654845,0.001022,0.006584,0.007501
1.65 sec,Standing,0.38492,-9.118093,3.640831,0.00336,0.011031,0.00885
1.66 sec,Standing,0.361928,-9.103176,3.619225,0.011203,0.008987,0.007495
1.67 sec,Standing,0.360071,-9.123559,3.607672,0.013676,0.010741,0.003606
1.68 sec,Standing,0.33432,-9.141816,3.594642,0.012475,0.004856,0.000782
1.69 sec,Standing,0.309619,-9.110043,3.640908,0.021767,0.006649,-0.005044
1.7 sec,Standing,0.339133,-9.086255,3.60265,0.017135,-0.000253,-0.007179
1.71 sec,Standing,0.314694,-9.104305,3.590051,0.019254,-0.005769,-0.008631
1.72 sec,Standing,0.367664,-9.074374,3.586746,0.019054,-0.010402,-0.007692
1.73 sec,Standing,0.388679,-9.130049,3.585158,0.014554,-0.011327,-0.008147
1.74 sec,Standing,0.385744,-9.133793,3.640763,0.015288,-0.013357,-0.000829
1.75 sec,Standing,0.408072,-9.147925,3.664328,0.012971,-0.012472,0.001562
1.76 sec,Standing,0.432245,-9.149451,3.667262,0.018603,-0.004316,0.007452
1.77 sec,Standing,0.437628,-9.1029,3.639907,0.016265,-0.008765,0.006107
1.78 sec,Standing,0.387513,-9.118973,3.625715,0.018224,-0.008248,0.013068
1.79 sec,Standing,0.41683,-9.074512,3.599939,0.018446,-0.006961,0.00895
1.8 sec,Standing,0.368527,-9.048845,3.61127,0.019447,-0.005706,0.012708
1.81 sec,Standing,0.33909,-9.100317,3.606947,0.019313,-0.011689,0.011033
1.82 sec,Standing,0.339569,-9.078874,3.621169,0.015838,-0.014697,0.011166
1.83 sec,Standing,0.266442,-9.072034,3.618011,0.015703,-0.020681,0.009492
1.84 sec,Standing,0.26549,-9.092387,3.606593,0.013162,-0.029765,0.009094
1.85 sec,Standing,0.265945,-9.091856,3.607898,0.017478,-0.03683,0.00731
1.86 sec,Standing,0.263249,-9.124713,3.61732,0.012463,-0.047669,0.010807
1.87 sec,Standing,0.267544,-9.091,3.609936,0.007868,-0.052588,0.009242
1.88 sec,Standing,0.314738,-9.107453,3.634335,0.009646,-0.060066,0.013965
1.89 sec,Standing,0.336946,-9.14262,3.644649,0.009671,-0.066779,0.007612
