Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
0 sec,Standing,1.454485,-9.659248,0.898524,0.015819,0.16597,0.010853
0.01 sec,Standing,1.474489,-9.740731,0.877936,0.012508,0.169606,0.020647
0.02 sec,Standing,1.418561,-9.681506,0.927228,0.011737,0.178379,0.021899
0.03 sec,Standing,1.351812,-9.631545,0.923389,0.006377,0.180836,0.018002
0.04 sec,Standing,1.310092,-9.59519,0.938765,-0.000583,0.180315,0.013512
0.05 sec,Standing,1.245907,-9.551767,0.956419,-0.013016,0.174704,0.004019
0.06 sec,Standing,1.1974,-9.537895,0.963594,-0.022196,0.17115,0.008415
0.07 sec,Standing,1.15679,-9.575999,0.95473,-0.029639,0.160988,0.002362
0.08 sec,Standing,1.162845,-9.628213,0.938725,-0.028849,0.151974,0.002809
0.09 sec,Standing,1.1895,-9.67432,0.872121,-0.035724,0.142885,0.004604
0.1 sec,Standing,1.167089,-9.680851,0.920509,-0.034879,0.13361,0.006946
0.11 sec,Standing,1.142068,-9.674197,0.921803,-0.035334,0.123717,0.007202
0.12 sec,Standing,1.140225,-9.674641,0.91942,-0.041649,0.111292,0.008536
0.13 sec,Standing,1.205616,-9.683062,0.859842,-0.04926,0.09825,0.007775
0.14 sec,Standing,1.206123,-9.696913,0.902995,-0.052331,0.091521,0.012163
0.15 sec,Standing,1.211973,-9.749401,0.883916,-0.050926,0.078905,0.014077
0.16 sec,Standing,1.185682,-9.736293,0.859399,-0.052624,0.068132,0.014138
0.17 sec,Standing,1.153738,-9.75895,0.875653,-0.050439,0.059198,0.020514
0.18 sec,Standing,1.134874,-9.723446,0.857047,-0.049507,0.045259,0.016484
0.19 sec,Standing,1.071727,-9.828889,0.82548,-0.048878,0.028954,0.013971
0.2 sec,Standing,1.109965,-9.872625,0.832808,-0.035526,0.015952,0.012996
0.21 sec,Standing,1.160359,-9.777136,0.80405,-0.029585,0.005507,0.009926
0.22 sec,Standing,1.245341,-9.834916,0.806208,-0.029988,-0.004658,0.01211
0.23 sec,Standing,1.30495,-9.872126,0.765119,-0.016958,0.001007,0.012137
0.24 sec,Standing,1.303459,-9.798192,0.785282,-0.00764,0.003788,0.013322
0.25 sec,Standing,1.288951,-9.70822,0.861844,-0.010905,0.00669,0.003983
0.26 sec,Standing,1.320713,-9.699782,0.887295,-0.011974,0.008972,-0.00337
0.27 sec,Standing,1.297772,-9.618578,0.910391,-0.018523,0.010568,-0.007461
0.28 sec,Standing,1.28413,-9.595975,0.940891,-0.02848,0.011647,-0.011911
0.29 sec,Standing,1.246467,-9.559613,0.950192,-0.036757,0.015175,-0.012032
0.3 sec,Standing,1.186892,-9.523024,0.98519,-0.045003,0.005996,-0.016059
0.31 sec,Standing,1.125583,-9.547193,0.95057,-0.062268,0.000514,-0.012618
0.32 sec,Standing,1.096149,-9.562968,0.941106,-0.069664,-0.017959,-0.014247
0.33 sec,Standing,1.036092,-9.594102,0.92777,-0.075075,-0.03162,-0.013059
0.34 sec,Standing,0.960438,-9.595929,0.922807,-0.084853,-0.052637,-0.009598
0.35 sec,Standing,0.946759,-9.641337,0.901322,-0.091445,-0.080136,-0.010752
0.36 sec,Standing,0.970588,-9.642249,0.864821,-0.096959,-0.101595,-0.008981
0.37 sec,Standing,0.964396,-9.591327,0.869723,-0.102781,-0.125422,-0.005747
0.38 sec,Standing,1.035576,-9.613279,0.84852,-0.11016,-0.144149,-0.005674
0.39 sec,Standing,1.097677,-9.650643,0.796769,-0.113301,-0.158967,0.001064
0.4 sec,Standing,1.200604,-9.664295,0.80003,-0.12014,-0.172669,-0.003796
0.41 sec,Standing,1.295905,-9.700312,0.79619,-0.120934,-0.172243,0.001773
0.42 sec,Standing,1.357411,-9.663683,0.764558,-0.122779,-0.169769,0.001878
0.43 sec,Standing,1.413663,-9.737359,0.750545,-0.126678,-0.16749,0.005607
0.44 sec,Standing,1.457811,-9.738205,0.682171,-0.128424,-0.157216,0.005144
0.45 sec,Standing,1.459734,-9.74626,0.690975,-0.12424,-0.144689,0.005559
0.46 sec,Standing,1.438617,-9.821126,0.680952,-0.125287,-0.14289,0.001837
0.47 sec,Standing,1.419511,-9.771181,0.60707,-0.120191,-0.131595,0.002155
0.48 sec,Standing,1.366213,-9.706451,0.61745,-0.116996,-0.125648,0.003327
0.49 sec,Standing,1.376034,-9.765889,0.611153,-0.116846,-0.122693,-0.001976
0.5 sec,Standing,1.329359,-9.745305,0.582526,-0.112317,-0.120735,-0.005198
0.51 sec,Standing,1.284516,-9.731912,0.577542,-0.111857,-0.123763,-0.007707
0.52 sec,Standing,1.278584,-9.681026,0.581583,-0.115721,-0.126074,-0.010429
0.53 sec,Standing,1.289288,-9.740337,0.57504,-0.118428,-0.130755,-0.005859
0.54 sec,Standing,1.315438,-9.755249,0.58121,-0.116106,-0.136518,-0.006833
0.55 sec,Standing,1.336336,-9.748006,0.517783,-0.115099,-0.13831,-0.003379
0.56 sec,Standing,1.354246,-9.785142,0.517283,-0.117513,-0.140613,-0.000284
0.57 sec,Standing,1.34905,-9.836906,0.411024,-0.111276,-0.144352,0.003203
0.58 sec,Standing,1.385574,-9.844582,0.470499,-0.103487,-0.144839,0.005494
0.59 sec,Standing,1.382066,-9.830115,0.412294,-0.0971,-0.145611,0.00381
0.6 sec,Standing,1.428264,-9.844441,0.392527,-0.095794,-0.145026,0.005816
0.61 sec,Standing,1.389465,-9.882287,0.372165,-0.094198,-0.142056,0.006384
0.62 sec,Standing,1.402957,-9.830851,0.351527,-0.082247,-0.13786,0.009873
0.63 sec,Standing,1.405371,-9.765445,0.388563,-0.083766,-0.137828,0.003944
0.64 sec,Standing,1.428419,-9.772761,0.374187,-0.083349,-0.136024,0.006134
0.65 sec,Standing,1.438505,-9.758609,0.393758,-0.085048,-0.130578,0.001232
0.66 sec,Standing,1.415667,-9.752072,0.387909,-0.086345,-0.126624,0.00563
0.67 sec,Standing,1.438731,-9.759374,0.373461,-0.083637,-0.122195,0.002779
0.68 sec,Standing,1.438759,-9.759739,0.363675,-0.081578,-0.117441,0.005683
0.69 sec,Standing,1.416678,-9.679919,0.382883,-0.082017,-0.111125,0.00108
0.7 sec,Standing,1.440064,-9.687148,0.368633,-0.087349,-0.108871,-0.000841
0.71 sec,Standing,1.501412,-9.730277,0.338468,-0.086798,-0.09928,0.001015
0.72 sec,Standing,1.423845,-9.805173,0.310918,-0.089394,-0.087801,0.001124
0.73 sec,Standing,1.447193,-9.81232,0.296487,-0.086771,-0.083066,-0.003538
0.74 sec,Standing,1.44558,-9.804707,0.263944,-0.084222,-0.073231,-0.005272
0.75 sec,Standing,1.422705,-9.871041,0.234492,-0.085121,-0.068691,-0.012117
0.76 sec,Standing,1.432055,-9.848977,0.232173,-0.078886,-0.064061,-0.0127
0.77 sec,Standing,1.441738,-9.826854,0.23038,-0.076354,-0.059013,-0.019187
0.78 sec,Standing,1.42318,-9.827751,0.249763,-0.075717,-0.054526,-0.020184
0.79 sec,Standing,1.433002,-9.80562,0.248474,-0.073167,-0.048012,-0.014895
0.8 sec,Standing,1.434668,-9.80557,0.240713,-0.0711,-0.04806,-0.016698
0.81 sec,Standing,1.402999,-9.812807,0.208272,-0.066312,-0.047,-0.014258
0.82 sec,Standing,1.421705,-9.849583,0.212773,-0.062051,-0.04263,-0.011177
0.83 sec,Standing,1.390511,-9.783845,0.206457,-0.057353,-0.041261,-0.010584
0.84 sec,Standing,1.359659,-9.691044,0.287837,-0.055379,-0.040996,-0.014233
0.85 sec,Standing,1.409557,-9.712606,0.295227,-0.055594,-0.048479,-0.015802
0.86 sec,Standing,1.481808,-9.614033,0.237884,-0.058762,-0.046581,-0.01757
0.87 sec,Standing,1.561056,-9.539427,0.248732,-0.071278,-0.037876,-0.010946
0.88 sec,Standing,1.54475,-9.656495,0.202095,-0.075831,-0.030018,-0.000104
0.89 sec,Standing,1.531287,-9.708754,0.203019,-0.086838,-0.022821,0.000579
0.9 sec,Standing,1.487258,-9.730109,0.139526,-0.086284,-0.021362,0.004719
0.91 sec,Standing,1.456092,-9.745492,0.129007,-0.081248,-0.02267,0.000952
0.92 sec,Standing,1.480405,-9.833311,0.113159,-0.081784,-0.019359,0.001578
